,WSR0,WSR7,WSR8,WSR9,WSR10,WSR11,WSR12,WSR13,WSR14,WSR15,WSR16,WSR17,WSR18,WSR19,WSR20,WSR21,WSR_PK,WSR_AV,T0,T85,RH85,U85,V85,HT85,T70,RH70,U70,V70,HT70,RH50,U50,V50,KI,TT,SLP,SLP_,Precp,Result
10,1.1,1.6,1.9,1.9,2.7,4.2,4.3,3.8,3.7,3.7,3.8,3.4,3.6,3.1,4.0,3.1,4.3,2.7,15.7,7.9,0.8,4.34,4.4,1526.5,-1.2,0.28,12.03,-0.51,3103.5,0.11,21.77,0.07,13.1,44.7,10190.0,10.0,0.03,0.0
11,3.7,1.0,1.3,1.9,2.3,2.6,3.4,3.4,3.1,2.9,1.8,0.2,0.4,0.9,0.4,0.6,4.2,2.0,20.3,10.9,0.96,10.77,10.22,1501.0,3.5,0.55,10.78,25.54,3096.5,0.39,21.07,5.02,24.25,47.85,10140.0,-50.0,0.43,0.0
12,1.0,1.3,3.0,2.7,3.0,4.3,4.2,4.2,3.5,3.0,2.6,3.1,3.0,2.2,2.1,2.5,4.3,2.3,19.0,12.3,0.84,7.79,3.84,1518.0,2.7,0.13,8.12,1.88,3116.0,0.48,21.79,9.14,7.25,51.55,10150.0,10.0,0.48,0.0
13,1.3,1.4,1.1,2.5,2.3,2.1,1.8,1.7,1.3,1.5,1.6,1.6,1.3,2.1,3.0,3.5,4.3,1.9,13.0,11.2,0.8,0.49,4.83,1510.5,2.1,0.78,16.36,1.02,3109.5,0.49,23.1,16.88,29.3,47.3,10155.0,5.0,0.18,0.0
14,4.2,5.6,5.3,5.5,5.7,5.9,5.4,5.5,5.3,5.4,4.7,3.0,1.3,0.6,0.6,0.2,5.9,4.0,11.7,8.8,0.86,4.4,-1.06,1462.0,0.65,0.54,11.7,2.93,3051.0,0.36,21.32,17.22,20.9,50.95,10115.0,-40.0,0.0,0.0
15,0.0,0.0,1.1,2.6,4.9,4.3,5.4,5.2,5.2,5.0,5.6,4.5,3.4,2.1,1.7,1.7,5.6,2.4,4.8,3.9,0.31,9.29,-13.27,1446.5,-2.35,0.12,16.24,-10.39,3013.5,0.36,26.52,-7.08,-9.5,36.7,10145.0,30.0,0.0,0.0
16,2.1,0.8,1.3,3.1,3.2,2.0,1.9,1.4,1.8,2.1,3.1,2.4,1.8,1.7,1.3,2.0,3.2,2.0,13.7,8.4,0.47,13.17,1.19,1497.5,2.6,0.19,20.22,-1.77,3084.5,0.17,24.72,0.98,1.5,36.7,10160.0,15.0,0.0,0.0
17,2.5,4.3,4.2,5.5,4.9,6.4,6.5,5.6,5.7,5.0,4.6,3.6,1.8,1.6,2.3,3.1,6.5,3.5,13.9,10.0,0.6,10.44,4.65,1513.0,2.8,0.17,18.3,-4.02,3106.5,0.06,23.56,0.36,1.75,35.65,10165.0,5.0,0.0,0.0
18,2.7,3.2,3.8,3.6,3.0,3.0,2.1,1.9,0.9,1.5,2.1,2.0,1.4,1.4,2.1,1.5,4.4,2.4,13.2,11.0,0.25,9.15,-7.02,1489.5,3.0,0.22,19.32,-4.69,3085.0,0.28,19.68,-5.31,0.5,33.5,10150.0,-15.0,0.0,0.0
19,0.3,3.1,2.5,2.3,3.7,4.3,4.6,4.7,4.2,4.1,3.7,2.8,2.5,3.5,3.8,3.9,4.7,2.9,9.0,8.6,0.15,3.72,0.0,1490.5,4.3,0.14,8.71,-2.5,3080.5,0.15,8.21,-0.54,-19.8,16.7,10175.0,25.0,0.0,0.0
20,2.1,1.9,1.9,2.9,3.2,3.6,3.9,3.3,3.3,4.5,4.3,2.9,3.4,3.8,1.8,0.1,4.5,2.4,17.9,10.1,0.66,5.82,9.09,1477.0,1.8,0.51,9.46,6.16,3072.0,0.02,16.86,8.83,7.6,39.4,10130.0,-45.0,0.66,0.0
21,2.8,4.6,4.6,5.4,5.2,5.9,5.3,5.1,5.1,5.3,5.0,4.5,4.1,4.1,4.4,4.2,5.9,4.4,18.4,12.9,0.78,2.1364868309260827,1.662463891248938,1460.0,2.5,0.66,11.63,8.63,3061.5,0.2,21.11,12.06,30.4,52.25,10090.0,-40.0,0.0,0.0
22,3.4,2.9,2.6,2.1,1.1,0.5,1.2,1.8,1.6,1.9,2.5,1.7,1.9,1.5,0.9,2.0,4.0,2.2,7.7,7.6,0.3,5.91,-6.35,1464.0,-0.9,0.28,6.6,1.44,3037.5,0.32,17.64,10.11,-7.8,34.7,10145.0,55.0,0.0,0.0
23,1.1,0.7,2.0,3.0,1.5,2.0,1.2,0.5,0.8,1.5,0.3,0.8,0.8,1.4,0.8,0.7,3.0,1.1,7.1,1.95,0.62,5.21,-6.56,1492.0,-0.75,0.17,19.47,-5.43,3052.0,0.22,27.97,-6.98,-3.8,34.5,10195.0,50.0,0.0,0.0
24,1.2,1.1,1.9,2.4,5.1,5.3,5.1,4.4,4.6,4.6,4.5,3.5,3.4,3.0,2.5,2.1,5.3,2.6,7.3,5.0,0.15,2.02,-0.59,1510.5,1.4,0.17,10.11,-2.63,3083.0,0.24,15.8,2.1,-17.5,19.0,10210.0,15.0,0.0,0.0
25,2.1,3.6,5.0,6.0,6.4,7.1,7.0,7.3,7.5,7.2,6.8,6.1,5.5,4.9,5.1,4.1,7.5,4.4,15.3,7.5,0.63,7.73,5.93,1493.0,-2.9,0.93,12.82,5.86,3064.0,0.43,18.8,10.98,24.75,44.8,10165.0,-45.0,0.56,0.0
26,2.0,1.7,2.4,3.2,2.6,3.0,2.6,2.1,2.4,2.1,1.8,1.2,0.1,0.8,0.4,1.7,3.2,1.9,9.7,1.8,0.68,8.07,-10.0,1480.0,-3.0,0.24,15.78,-8.5,3038.5,0.22,16.1,-19.47,-7.25,37.75,10180.0,15.0,0.0,0.0
27,0.3,0.5,0.9,3.8,4.4,3.7,3.4,3.5,3.4,3.1,3.7,4.0,3.3,2.7,2.4,2.2,4.4,2.1,7.8,6.6,0.24,2.64,-5.4,1517.5,3.2,0.19,9.23,-6.74,3102.5,0.23,15.99,-7.65,-11.1,21.6,10210.0,30.0,0.0,0.0
28,0.2,1.0,1.4,1.3,0.7,1.0,2.7,2.6,1.9,2.0,1.7,2.2,1.8,1.4,1.7,1.2,2.7,1.2,11.3,8.3,0.27,6.9,-1.06,1503.5,3.6,0.09,8.46,1.48,3096.0,0.14,14.88,4.58,-19.3,28.3,10175.0,-35.0,0.0,0.0
29,1.3,0.1,0.8,1.0,0.2,0.6,1.4,1.8,1.4,2.0,3.2,2.8,1.4,1.5,1.9,1.6,3.2,1.2,14.3,7.4,0.83,3.82,-3.44,1491.0,0.4,0.16,6.09,-5.11,3062.5,0.2,12.24,-6.87,9.9,49.8,10150.0,-25.0,0.0,0.0
30,0.7,1.7,2.8,4.1,4.4,5.2,5.8,6.2,4.7,4.6,5.0,4.4,4.4,4.2,3.8,3.6,6.2,3.5,14.3,7.2,0.83,-0.92,-2.22,1488.0,-0.15,0.2,3.69,-3.78,3061.5,0.29,6.76,-1.32,12.55,50.45,10145.0,-5.0,0.03,0.0
31,3.5,1.4,2.0,2.0,2.3,2.7,2.8,3.4,3.3,3.6,3.9,3.0,3.2,4.0,4.2,3.5,4.2,3.0,14.7,9.4,0.58,-1.2,8.38,1460.0,1.0,0.58,5.07,8.78,3046.5,0.58,16.47,2.99,19.75,45.6,10110.0,-35.0,0.25,0.0
32,4.2,4.3,4.1,3.8,4.6,4.3,4.4,4.0,3.4,4.0,3.8,3.7,3.5,3.6,4.2,4.5,4.6,3.9,11.6,9.2,0.86,-1.63,2.84,1428.0,0.85,0.56,0.2,-0.92,3016.5,0.69,2.15,10.02,25.55,48.95,10070.0,-40.0,0.81,0.0
33,3.1,2.2,3.6,3.3,4.2,5.2,5.6,5.1,5.3,4.7,4.2,3.5,1.8,1.9,1.7,2.2,5.6,3.2,12.1,7.2,0.79,-4.32,-14.73,1430.0,0.0,0.41,-2.45,-12.99,3006.0,0.31,1.81,-9.88,7.55,44.4,10095.0,25.0,0.0,0.0
34,1.4,1.5,1.9,3.0,3.2,3.4,2.8,1.9,0.5,1.0,1.7,1.8,1.7,1.5,1.3,0.8,3.4,1.7,11.1,5.0,0.53,1.59,-9.79,1456.5,-0.15,0.23,10.36,-14.64,3027.0,0.33,23.44,-12.31,-3.2,30.0,10130.0,35.0,0.0,0.0
35,0.8,2.9,2.5,1.9,1.3,1.7,2.1,1.9,2.2,2.0,2.1,1.3,0.6,0.3,0.7,0.5,2.9,1.4,8.0,3.3,0.31,-0.46,-2.5,1452.0,-1.05,0.19,5.459633992427429,0.9940008413967186,3017.0,0.17,21.04,2.27,-10.4,26.6,10130.0,0.0,0.53,0.0
36,2.1,3.0,4.1,4.5,5.1,5.2,4.9,4.7,4.5,3.9,3.6,3.1,2.4,1.3,0.8,1.5,5.2,3.0,8.6,1.5,0.8,4.92,-5.9,1450.0,-6.3,0.69,8.9,-3.78,2995.0,0.32,15.15,1.24,18.3,45.9,10145.0,15.0,0.0,0.0
37,1.1,2.1,2.6,2.5,2.2,3.4,3.0,3.4,3.8,3.2,2.9,2.6,1.4,0.5,0.1,0.1,3.8,1.9,5.3,-0.35,0.6,2.63,-6.43,1464.0,-5.4,0.25,14.74,-11.23,2999.5,0.22,23.78,-14.69,-4.5,31.3,10165.0,20.0,0.0,0.0
38,0.1,0.5,0.6,0.9,1.7,3.4,3.7,3.2,3.4,3.3,4.2,3.6,2.6,2.2,1.5,1.5,4.2,1.7,6.9,3.5,0.41,7.62,-3.67,1478.0,-2.4,0.37,16.99,-10.61,3042.0,0.22,22.39,-9.13,3.2,33.4,10165.0,0.0,0.0,0.0
39,0.8,1.1,1.6,1.5,1.8,2.4,3.8,4.0,5.3,5.0,4.8,4.2,4.3,3.6,3.5,3.3,5.3,2.7,13.6,7.4,0.64,9.91,6.08,1494.5,0.65,0.13,16.87,-6.93,3071.0,0.18,26.63,-10.0,-2.3,40.4,10155.0,-10.0,0.0,0.0
40,3.6,3.3,4.9,5.8,5.8,7.2,3.4,6.0,4.2,3.8,3.0,3.5,2.5,3.9,3.8,4.9,7.2,4.0,19.3,8.9,0.92,3.12,9.81,1489.5,2.8,0.18,13.93,12.68,3082.0,0.38,23.97,8.97,12.75,50.95,10130.0,-25.0,2.06,0.0
41,2.8,2.8,4.0,4.6,4.4,3.6,3.6,3.6,3.4,3.7,3.4,3.0,1.2,0.7,0.5,0.2,4.6,2.6,11.2,7.9,0.48,18.56,-5.35,1439.5,-1.8,0.6,24.04,4.65,3015.0,0.56,9.872418244406196,0.8301161790017213,10.8,32.7,10105.0,-25.0,0.0,0.0
42,0.1,1.6,1.6,3.1,4.6,4.4,4.6,4.1,4.2,4.2,3.8,2.5,2.7,1.2,1.0,1.2,4.6,2.1,8.4,5.9,0.21,5.27,-6.6,1488.0,0.45,0.1,16.12,-2.82,3050.5,0.18,25.43,4.67,-17.0,25.2,10165.0,60.0,0.0,0.0
43,1.1,1.6,1.7,2.2,2.7,1.6,0.9,0.9,1.3,0.3,0.9,0.8,1.7,1.7,1.4,0.8,2.7,1.4,12.3,4.5,0.45,2.62,-0.31,1490.0,-4.6,0.43,15.88,1.39,3047.0,0.25,26.15,0.88,9.8,40.1,10165.0,0.0,0.0,0.0
44,1.2,2.2,3.6,3.4,3.8,4.9,5.5,5.3,3.8,0.9,1.3,0.8,1.3,1.4,2.1,3.5,5.5,2.5,11.8,4.6,0.57,0.19,-3.14,1508.5,3.6,0.2,13.71,-0.8,3089.5,0.44,16.34,0.66,-2.45,31.75,10185.0,20.0,0.15,0.0
45,3.4,2.3,2.8,3.0,3.3,3.5,3.4,3.8,3.6,3.3,3.4,3.4,2.9,2.7,2.6,2.0,4.6,3.0,12.1,6.5,0.56,-12.94,6.77,1463.5,0.9,0.62,-0.47,10.99,3051.0,0.83,5.3,9.3,11.45,33.4,10130.0,-55.0,0.0,0.0
46,1.4,2.6,0.8,1.5,1.7,3.4,1.4,1.8,2.1,2.5,2.4,2.9,7.5,2.1,1.2,0.8,7.5,1.8,10.6,9.0,0.59,4.71,4.7,1362.5,0.15,0.73,9.75,1.81,2949.5,0.14,13.55,7.31,20.35,41.55,10015.0,-115.0,2.51,0.0
47,0.9,2.9,3.7,5.2,6.3,6.6,6.4,5.9,6.0,5.1,5.1,4.6,3.0,0.9,0.7,0.2,6.6,3.3,8.7,6.5,0.53,14.82,1.85,1357.0,-4.1,0.35,18.36,6.98,2919.0,0.54,24.96,17.78,11.75,47.55,10000.0,-15.0,0.0,0.0
48,0.0,0.4,1.0,1.9,2.4,2.3,2.3,3.3,3.2,3.7,3.1,2.5,2.4,2.6,2.8,2.1,3.7,1.7,6.8,6.3,0.4,11.97,-3.9,1431.5,0.65,0.15,19.85,-1.07,3009.5,0.17,9.872418244406196,0.8301161790017213,-3.9,37.1,10105.0,105.0,0.1,0.0
49,0.7,0.2,1.3,2.4,3.0,3.6,3.7,4.7,4.9,4.6,4.8,5.5,5.3,3.8,3.9,3.0,5.5,2.9,12.8,8.5,0.41,7.63,0.56,1472.5,-2.1,0.71,10.77,5.85,3044.5,0.53,28.24,17.86,16.2,38.0,10135.0,30.0,0.28,0.0
50,1.7,1.2,1.5,2.2,1.1,1.4,1.0,0.8,1.8,1.6,1.5,2.9,2.1,2.2,1.9,0.8,2.9,1.4,10.7,6.4,0.47,9.37,-3.81,1479.5,-2.4,0.21,18.22,-1.32,3046.0,0.2,27.32,1.85,4.4,41.0,10145.0,10.0,0.0,0.0
51,0.7,2.4,3.4,4.3,6.2,5.7,5.8,5.2,4.8,5.1,3.6,4.8,4.7,4.3,3.9,0.5,6.2,3.3,9.6,5.6,0.45,-0.43,-1.16,1498.0,3.5,0.18,13.41,1.46,3079.0,0.2,27.56,2.77,-5.5,30.3,10170.0,25.0,3.58,0.0
52,2.6,4.8,4.4,4.8,5.9,6.1,5.6,5.4,4.8,4.2,4.4,3.0,3.0,2.0,1.5,1.1,6.1,3.5,11.7,7.8,0.53,-0.35,7.99,1423.0,-0.45,0.69,10.79,11.26,3000.0,0.57,3.31,17.47,15.35,36.15,10070.0,-100.0,0.74,0.0
53,0.3,0.0,0.1,1.7,2.7,2.9,3.1,3.1,2.1,2.2,1.3,2.7,2.4,2.3,1.7,1.6,3.1,1.5,9.6,6.3,0.61,10.24,-11.01,1433.5,1.3,0.25,19.17,-13.42,3016.0,0.14,29.59,-13.8,4.35,37.25,10110.0,40.0,0.0,0.0
54,0.8,1.7,1.8,2.1,4.1,3.5,3.9,4.5,5.2,5.4,5.4,4.9,4.2,3.6,4.5,4.3,5.4,3.1,13.1,11.3,0.34,7.47,-6.53,1517.0,5.0,0.25,12.25,-7.44,3119.0,0.25,25.51,-10.96,2.4,31.2,10185.0,75.0,0.0,0.0
55,4.4,3.4,4.1,2.8477080551846905,2.9697684772929653,3.0164139161462984,6.8,7.2,6.9,6.8,6.1,4.6,4.6,4.5,5.2,6.2,7.2,5.2,18.0,14.1,0.24,2.1,10.14,1505.5,7.5,0.21,9.52,5.35,3125.0,0.21,17.69,3.92,-1.3,29.2,10155.0,-30.0,0.0,0.0
56,4.9,2.3,1.3,0.8,1.7,4.7,5.9,6.8,6.1,6.7,6.4,5.5,2.6,0.6,0.4,0.0,6.8,3.1,20.7,10.9,0.7,4.24,15.06,1427.5,3.5,0.53,6.42,13.47,3026.5,0.21,16.89,22.05,15.6,43.25,10050.0,-105.0,3.84,0.0
57,1.5,0.6,0.8,1.6,0.4,0.6,0.4,1.6,2.8,3.3,1.7,2.7,1.0,1.7,0.6,0.6,3.3,1.1,10.7,7.5,0.3,12.46,-1.06,1403.5,-1.1,0.24,28.21,7.61,2976.0,0.53,36.08,18.52,-2.6,28.3,10050.0,0.0,0.0,0.0
58,0.2,2.8,2.7,2.9,4.0,3.7,2.5,1.6,2.6,2.8,2.5,3.4,3.1,1.9,2.8,2.1,4.0,2.1,10.7,5.7,0.41,6.38,0.38,1443.5,-3.7,0.8,18.36,5.2,3002.5,0.24,34.91,19.43,16.25,38.1,10095.0,45.0,0.0,0.0
59,0.4,0.6,1.9,2.3,2.8,3.0,3.9,4.1,4.6,5.3,5.1,4.0,2.5,1.9,1.1,0.3,5.3,1.9,7.2,2.55,0.33,11.44,-0.6,1464.5,-6.5,0.34,18.57,1.82,3005.5,0.29,9.872418244406196,0.8301161790017213,-7.2,25.5,10145.0,50.0,0.0,0.0
60,0.4,1.1,2.1,3.2,4.8,4.9,5.1,4.6,5.0,4.9,4.6,3.7,2.7,1.7,1.6,1.6,5.1,2.2,6.4,1.9,0.2,7.62,-6.8,1472.0,-9.9,0.28,18.43,-8.33,2998.0,0.17,33.86,1.2,-9.8,25.1,10155.0,10.0,0.0,0.0
61,1.1,2.2,2.4,2.2,2.1,2.0,0.8,1.3,0.4,0.5,1.4,2.0,2.4,2.8,3.4,2.4,3.4,1.7,9.8,1.9,0.33,12.61,-9.37,1477.5,-7.8,0.29,22.01,-9.25,3016.0,0.25,34.66,-7.5,-5.2,26.3,10165.0,10.0,0.0,0.0
62,2.0,2.4,3.8,4.9,5.2,5.6,5.5,4.9,4.0,4.8,4.1,4.1,3.5,3.6,3.7,4.1,5.6,3.7,13.5,5.9,0.61,10.18,-0.87,1482.5,-2.4,0.37,14.89,-5.19,3044.5,0.24,28.63,-9.21,9.35,38.35,10150.0,-15.0,0.0,0.0
63,1.8,1.9,2.6,2.8,2.5,2.7,2.9,2.8,3.0,3.0,2.8,3.2,2.6,2.6,2.5,2.1,3.2,2.6,20.3,12.8,0.74,2.97,3.1,1481.0,5.5,0.16,10.57,1.19,3093.0,0.32,18.96,0.04,9.75,49.65,10105.0,-5.0,0.03,0.0
64,1.8,0.9,1.0,1.3,1.7,2.1,3.3,4.2,4.8,6.4,4.9,4.6,4.7,2.7,2.8,3.0,6.4,2.6,16.0,14.8,0.95,2.41,10.04,1445.0,5.5,0.6,9.77,13.06,3064.5,0.82,17.12,14.37,35.45,56.85,10050.0,-55.0,0.05,0.0
65,2.5,7.0,9.2,8.3,8.7,8.8,9.0,9.6,9.1,8.9,8.7,7.6,6.3,6.2,6.0,5.4,9.6,6.4,13.9,11.3,0.79,10.13,4.4,1372.5,3.6,0.55,11.79,16.15,2972.5,0.24,23.71,24.93,24.5,46.4,9995.0,-55.0,0.05,0.0
66,3.8,4.3,5.3,5.8,5.7,5.4,6.1,6.0,5.5,5.1,5.7,4.9,3.6,2.8,2.3,3.3,6.1,4.6,5.3,-0.35,0.68,13.25,-11.96,1411.0,-1.0,0.26,22.11,-7.01,2975.5,0.27,9.872418244406196,0.8301161790017213,-2.75,31.95,10130.0,135.0,0.0,0.0
67,2.8,3.4,4.5,3.8,3.3,3.2,4.0,4.5,4.2,3.8,3.8,3.4,2.1,0.9,0.3,0.8,4.5,2.8,5.5,2.1,0.17,5.91,-12.89,1526.0,-3.2,0.21,18.02,-9.31,3076.5,0.16,32.38,-4.32,-17.5,16.8,10255.0,125.0,0.0,0.0
68,0.9,1.5,2.4,3.2,2.9,2.5,1.9,1.3,1.1,0.2,1.8,1.8,1.7,1.3,1.3,1.7,3.2,1.5,3.5,1.8,0.27,4.46,-9.56,1570.0,-6.4,0.39,14.42,-10.23,3114.0,0.16,26.84,-5.87,-5.0,22.9,10315.0,60.0,0.0,0.0
69,1.1,3.9,3.6,3.3,3.4,3.2,3.0,2.9,2.9,2.6,1.9,1.7,2.0,2.0,1.3,1.2,3.9,2.4,8.2,13.575297741273102,0.5773198847262248,2.1364868309260827,1.662463891248938,1531.4942599425995,5.931128965801401,0.4064448119057462,5.459633992427429,0.9940008413967186,3145.420501232539,0.3047156496471565,9.872418244406196,0.8301161790017213,10.511050875729774,37.38833540888336,10164.19844198442,-0.11994949494949494,0.03,0.0
70,1.7,2.3,2.5,2.3,2.9,4.1,4.3,4.4,4.0,4.5,4.0,3.6,3.5,3.1,3.2,3.2,4.5,2.9,8.0,3.0,0.62,3.31,-4.0,1575.0,-4.2,0.93,15.2,-5.41,3125.5,0.27,19.97,-1.75,16.95,36.95,10310.0,-0.11994949494949494,0.36,0.0
71,2.2,2.0,3.4,3.6,3.8,4.8,4.7,5.0,4.1,3.8,2.8,2.9,2.5,2.7,3.2,3.7,5.0,3.1,11.9,7.0,0.75,1.78,5.54,1579.0,-2.6,0.88,7.48,-2.48,3148.0,0.55,13.23,-1.24,25.65,44.75,10270.0,-40.0,1.24,0.0
72,3.2,4.0,4.3,5.1,5.4,5.6,5.5,6.1,6.3,6.1,5.5,6.0,6.4,6.4,6.2,6.5,6.5,5.2,15.9,8.8,0.47,-3.03,9.11,1563.0,0.45,0.88,5.13,3.8,3148.0,0.29,20.34,-2.79,20.15,36.5,10235.0,-35.0,0.0,0.0
73,6.3,5.9,6.1,2.1,3.9,2.2,1.7,1.8,0.8,1.3,3.4,1.5,0.4,0.5,0.8,0.9,7.0,3.4,17.9,11.7,0.4,-4.53,18.46,1503.0,3.4,0.66,7.74,19.38,3101.5,0.36,13.2,12.77,19.0,38.6,10150.0,-85.0,3.84,0.0
74,1.2,1.1,3.0,3.4,4.1,3.3,2.6,3.4,3.3,3.4,2.5,0.3,0.9,1.9,0.8,0.5,4.1,1.8,14.9,11.0,0.41,7.44,0.93,1441.0,2.6,0.59,18.24,13.26,3037.5,0.48,24.74,23.26,14.5,38.6,10070.0,-80.0,0.0,0.0
75,2.1,2.6,2.5,3.0,3.1,1.1,2.3,2.3,3.1,4.8,4.6,4.0,2.9,2.8,3.0,2.5,4.8,2.6,14.9,13.2,0.3,4.71,4.32,1475.5,3.1,0.27,13.12,5.82,3073.5,0.17,23.14,14.81,6.9,36.4,10100.0,30.0,0.0,0.0
76,1.7,3.4,4.0,3.1,4.6,6.3,4.6,6.4,7.0,7.4,7.5,7.9,7.1,5.8,6.4,6.3,7.9,4.8,18.7,13.5,0.79,0.48,4.05,1462.5,2.8,0.21,7.32,4.22,3066.5,0.3047156496471565,19.19,7.13,20.4,54.4,10085.0,-15.0,0.13,0.0
77,4.9,3.7,5.3,5.1,5.0,5.5,5.5,5.5,5.5,5.3,5.5,5.0,3.4,1.9,1.7,1.4,5.5,3.8,8.1,13.575297741273102,0.5773198847262248,2.1364868309260827,1.662463891248938,1531.4942599425995,5.931128965801401,0.4064448119057462,5.459633992427429,0.9940008413967186,3145.420501232539,0.3047156496471565,9.872418244406196,0.8301161790017213,10.511050875729774,37.38833540888336,10164.19844198442,-0.11994949494949494,0.0,0.0
78,1.4,2.3,2.7,1.4,2.2,2.6,3.2,2.8,3.4,3.0,3.0,2.6,2.1,1.0,0.4,0.0,3.4,1.9,8.5,5.4,0.34,7.83,-12.53,1459.0,0.45,0.2,13.91,-11.39,3031.5,0.18,27.22,-8.53,-8.6,23.5,10155.0,-0.11994949494949494,0.0,0.0
79,0.8,0.3,0.9,1.3,0.8,2.4,2.6,3.1,2.3,2.2,2.2,2.0,0.5,0.3,1.6,1.8,3.1,1.3,8.6,4.5,0.09,2.86,-8.79,1482.0,-1.05,0.08,6.43,-7.66,3047.0,0.1,12.49,-6.39,-39.0,11.5,10160.0,5.0,0.0,0.0
80,1.3,0.8,2.7,3.8,4.1,3.9,4.1,4.0,4.3,4.1,4.3,4.4,4.1,3.8,3.5,2.5,4.4,2.7,11.8,7.1,0.37,0.29,-1.54,1512.0,-1.8,0.25,3.66,-9.39,3081.0,0.23,8.99,-14.64,2.9,36.1,10175.0,15.0,0.0,0.0
81,2.6,1.7,2.8,4.4,4.0,4.1,4.0,4.4,4.3,5.0,5.2,5.1,4.6,4.2,3.1,2.3,5.2,3.2,15.7,13.575297741273102,0.5773198847262248,2.1364868309260827,1.662463891248938,1531.4942599425995,5.931128965801401,0.4064448119057462,5.459633992427429,0.9940008413967186,3145.420501232539,0.3047156496471565,9.872418244406196,0.8301161790017213,10.511050875729774,37.38833540888336,10164.19844198442,-0.11994949494949494,0.0,0.0
82,3.2,2.5,3.4,4.6,5.8,5.5,5.4,5.9,5.5,5.5,5.1,4.9,4.9,3.7,3.4,3.6,5.9,3.8,17.6,14.2,0.19,1.14,9.17,1551.5,5.0,0.29,4.81,2.05,3168.0,0.09,8.42,-10.04,2.6,30.3,10205.0,-0.11994949494949494,0.0,0.0
